segment,description
21101905,livestock identification equipment
21101906,egg inspection or collecting equipment
21101907,animal watering machines
21101908,milk cooling tanks
21101909,animal shearing or clipping equipment
21101910,wool comb
21102001,cleaning machines for seed or grain or dried leguminous vegetables
21102002,sorting machines for seed or grain or dried leguminous vegetables
21102003,grading machines for seed or grain or dried leguminous vegetables
21102004,rice cleaning or hulling equipment
21102005,grinding mills
21102006,hammer mills
21102101,agricultural briquetting or pelting machines
21102201,decorticators
21102202,lumbering equipment
21102203,reforestation equipment
21102204,forestry saws
21102205,forestry skidders
21102206,forestry increment borers
21102207,forestry ipsometer
21102301,greenhouse irrigation equipment
21102302,greenhouse pots
21102303,greenhouse ventilation equipment
21102304,greenhouse isolation equipment
21102401,beekeeping equipment
21102402,silkworm equipment
21102403,butterfly breeding equipment
21102404,beetle breeding equipment
21111501,commercial fish hooks
21111502,commercial fishing reels
21111503,commercial fishing line tackle
21111504,commercial fishing nets
21111506,commercial fishing floats
21111507,commercial sinkers or weights
21111508,fishing net haulers
21111601,marine hatchery equipment
21111602,pisciculture supplies
22101501,front end loaders
22101502,graders
22101504,pile drivers
22101505,rollers
22101507,tampers
22101508,trenching machines
22101509,backhoes
22101511,compactors
22101513,draglines
22101514,dredgers
22101516,ditchers
22101518,elevating scrapers
22101519,twin engine open bowl scrapers
22101520,twin engine elevating scrapers
22101521,pulled scrapers
22101522,track bulldozers
22101523,wheel bulldozers
22101524,mobile excavators
22101525,wheel excavators
22101526,track excavators
22101527,integrated tool carriers
22101528,wheel loaders
22101529,skid steer loaders
22101530,open bowl scrapers
22101531,snow blowers
22101532,track loaders
22101533,treedozers
22101534,combat earthmovers
22101535,pile extractor
22101536,tire washer
22101602,ramming equipment
22101603,road wideners
22101604,vibratory plates
22101605,asphalt finishers
22101606,chip spreaders
22101607,road pavers
22101608,cold planers
22101609,paving material mixers
22101610,aggregate spreaders
22101611,bituminous material distributors
22101612,road rooters
22101613,road surface heater planers
22101614,concrete paving strike offs
22101615,paving breakers
22101616,curbing machines
22101617,grouting machines
22101618,trackway surfacing outfits or its laying mechanisms
22101619,scrubbing machines
22101620,joint cleaning or refacing machines
22101621,asphalt distributor
22101622,asphalt recycler
22101623,concrete paving and finishing machine
22101624,road marking machine
22101625,concrete surfacing machine
22101626,asphalt mixing plant
22101627,asphalt melter
22101628,aggregate washer
22101629,aggregate dryer
22101630,roadmarking remover
22101701,earthmoving shovels
22101702,earthmoving buckets or its parts or accessories
22101703,blades or tooth or other cutting edges
22101704,scarifiers
22101705,track links or track shoes or its parts
22101706,dippers
22101707,taglines
22101708,rippers
22101709,grapples
22101710,snowplow attachments
22101711,paving breaker tools or accessories
22101712,pile driver tools or its parts or accessories
22101713,backhoe boom or boom sections
22101714,tamper parts or repair kits
22101715,batching plants or feeders
22101716,construction machinery conversion kits
22101717,earth moving moldboards
22101718,grader control systems
22101719,grader frame saddles
22101720,trencher crumber shoes
22101721,stake driver bits and accessories
22101801,manlift or personnel lift
22101802,platform lift
22101803,articulating boom lift
22101804,telescoping boom lift
22101901,concrete mixers or plants
22101902,plaster or mortar mixers
22101903,rotary tiller mixers
22101904,curing machines
22101905,concrete spreaders
22101906,shoring equipment
22101907,trench braces
22102001,demolition equipment kits
23101501,coping machines
23101502,drilling machines
23101503,broaching machines
23101504,bending machines
23101505,boring machines
23101506,grinding machines
23101507,molding machines
23101508,cutting machines
23101509,sanding machines
23101510,polishing machines
23101511,turning machines
23101512,sawing machines
23101513,milling machines
23101514,planing machines
23101515,engraving machines
23101516,glass bead peener machines
23101517,grit blast machines
23101518,shot peen machine
23101519,robot machines
23101520,ram electro discharge machines
23101521,wire cathode electrode discharge machine
23101522,chip breaker
23101525,oscillating spindle sander
23101528,drum sander
23111501,distillate hydroprocessing equipment
23111502,crude distilling machinery
23111503,catalytic cracking equipment
23111504,hydrocracking equipment
23111505,isomerization machinery
23111506,coking machinery
23111507,gas recovery machinery
23111601,naptha hydrotreater
23111602,distillate hydrotreater
23111603,catalytic feed hydrotreater
23111604,lube hydrotreater
23111605,gasoline hydrotreater
23111606,resid hydrotreater
23121501,embroidery making machines
23121502,felting machines
23121503,winding or reeling or spooling machines
23121504,twisting machines
23121505,stitch bonding machines
23121506,knitting machines
23121507,weaving machines
23121508,finishing machines
23121509,spinning machines
23121510,lace making machines
23121601,button covering machines
23121602,button sewing machines
23121603,buttonhole machines
23121604,cloth cutting machines
23121605,cushion filling machines
23121606,folding or rewinding machines
23121607,bleaching machines
23121608,fabric or cloth folding machines
23121609,reeling or unreeling machines
23121610,dyeing machines
23121611,cutting or pinking machines
23121612,sewing machine needles
23121613,silk processing machines
23121614,sewing machines
23121615,fabric cutting tables
23131501,abrasive compounds
23131502,felt wheels
23131503,grinding wheels
23131504,polishing compounds
23131505,polishing heads
23131506,polishing wheels
23131507,sanding cloths
23131508,sanding drums
23131509,tumblers or polishers
23131510,tumbling supplies or media
23131511,water swivels
23131512,water trays
23131513,sanding blocks
23131514,mounted stones
23131515,grinding wheel dressers
23131601,faceting accessories
23131602,faceting machines
23131603,faceting laps
23131604,faceting saws
23131701,cabbing accessories
23131702,cabbing belts
23131703,cabbing discs
23131704,cabochon machines
23141601,leather fleshing machines
23141602,leather tanning machines
23141603,leather dyeing machines
23141604,leather degreasing machines
23141605,leather presses
23141701,leather cutting machines
23141702,leather riveting machines
23141703,leather nailing machines
23141704,leatherworking workshop equipment
23151501,blow molding machines
23151502,coating machines
23151503,extruders
23151504,injection molding machines
23151506,rubber or plastic presses
23151507,thermo forming machines
23151508,vacuum molding machines
23151509,vulcanizing machines
23151510,plastic cutting machinery
23151511,plastic grinding machinery
23151512,rubber or plastic mills
23151513,rubber or plastic extrusion dies
23151514,plastic injection molds
23151515,thermoforming molds
23151516,ejector pins
23151517,in mold decoration imd cylinder
23151518,dip molding equipment
23151519,urethane foam molding and processing equipment
23151520,rotational molding equipment
23151601,blowers or dryers
23151602,crushers
23151603,fusion welding or glass drawing machines
23151604,grinding or polishing machines
23151606,cement or ceramic or glass or similar material molding machines
23151607,presses
23151608,sifters
23151701,lens grinding machines
23151702,lens measuring equipment
23151703,lens polishing equipment
23151704,lens testing equipment
23151705,optical vacuum coating equipment
23151801,ampoule filling equipment
23151802,bottle cappers or cotton inserters or safety seal applicators
23151803,capsulating machines
23151804,reactors or fermenters or digesters
23151805,filling or sealing auger dose machines
23151806,pharmaceutical filters or ultra filters
23151807,freezedryers or lyophilzers
23151808,granulators
23151809,pharmaceutical sieve or screening machines
23151810,sterile or aseptic processing or filling machines
23151811,tablet or capsule testing machines
23151812,tablet counters
23151813,tabletting machines
23151814,vaccine production equipment
23151816,chromatography columns
23151817,chromatography media
23151818,sterility test devices
23151819,filter integrity testers
23151821,filter cartridge adapter
23151822,adapters or connectors or fittings for pharmaceutical filter housings
23151823,diagnostic radiopharmaceutical
23151824,pharmacy compounder or accessories
23151901,cutters
23151902,slitters
23151903,washing or dewatering machines
23151904,winders
23151905,wood pulp or dissolver machines
23151906,calenders for paper or cardboard making
23151907,screen drum or sieve
23152001,corona treaters
23152002,flame treaters
23152101,vibratory separation equipment or parts or screens
23152102,stationary separation equipment or parts or screens
23152103,air classification equipment or parts or screens
23152104,centrifugal separation equipment or parts or screens
23152105,electromechanical vibrator
23152106,urethane profile vibratory separation screen
23152107,profile wire vibratory separation screen
23152108,punch plate vibratory separation screen
23152109,urethane coated punch plate vibratory separation screen
23152110,urethane or rubber wire vibratory separation screen
23152111,woven wire vibratory separation screen
23152112,urethane coated woven wire vibratory separation screen
23152201,rotary tables
23152202,stack stands
23152203,engine or component test stands
23152204,machine guarding
23152205,band saw tables
23152206,barrier guarding
23152901,wrapping machinery
23152902,form or fill or seal machinery
23152903,packaging vacuum
23152904,packaging hoppers
23152905,carton forming machines
23152906,taping machines
23152907,packaging machinery supplies
23153001,calibration jig
23153002,guide jig
23153003,master jig
23153004,needle jig
23153005,shaft jig
23153006,checking jig
23153007,setting jig
23153008,camera jig
23153009,pickup jig
23153010,removal jig
23153011,nozzle jig
23153012,sliding jig
23153013,centering jig
23153014,inspecting jig
23153015,feeder jig
23153016,clutch jig
23153017,alignment jig
23153018,positioning jig
23153019,lifter plate
23153020,tape guide
23153021,tape feed jaw
23153022,power feeder
23153023,feeder harness
23153024,feed jaw
23153025,mechanical gripper
23153026,holder jaw
23153027,jaw assembly
23153028,stationary jaw
23153029,jig block
23153030,linear motion guides
23153031,measuring jigs
23153032,ring jigs
23153033,throat plate
23153034,machine rails
23153035,finger plates
23153036,keeper plates
23153037,feed roll assembly
23153038,trestle
23153039,machine rail carriage
23153101,pitch stopper
23153102,paper stopper
23153103,stopper pad
23153129,machine way wipers
23153130,machine mounts or vibration isolators
23153131,wear plates or bars or strips
23153132,dust deflectors
23153133,sprocket hubs
23153134,feed or drive rollers
23153135,feed roller covers
23153136,saw dust chutes
23153137,machinery dust covers
23153138,cutting or chipping heads
23153139,guide beds
23153140,link arms
23153141,electro discharge machine edm wire
23153142,accordion bellows
23153143,spray nozzle
23153144,spray block
23153201,paint robots
23153202,pick or place robots
23153203,sealant adhesive robots
23153204,welding robots
23153205,machine tending robot
23153206,material removal robot
23153401,adhesive or glue application systems
23153402,assembly fixtures
23153403,specialty assembly
23153404,assembly systems for chassis vehicle operation vo
23153405,unlimited component assembly
23153406,powertrain complete lines
23153407,surface mount device
23153408,fill test
23153409,non portable nutrunner multispindle
23153410,body skids
23153411,tire mounting inflating
23153412,gullotine shears
23153413,glass insertion pick up pu application
23153414,articulating lazy arms
23153415,automatic chassis decking
23153416,flexible components
23153417,miscellaneous assembly machines
23153418,custom assembly fixtures or tooling
23153419,custom single station machine
23153420,wire and cable assembly machine
23153501,paint application system
23153502,paint booth repair
23153503,paint systems ovens
23153504,paint plant layout or engineering
23153505,turn key paint system
23153506,phosphate or e coat paint system
23153507,miscellaneous or miscellaneous paint shop
23153508,miscellaneous paint systems
23153601,acid etch marking machines
23153602,laser marking machine
23153603,pinstamp marking machine
23153604,laser etching tool
23153701,pulse tool
23153702,nutrunner
23153801,electrostatic fluxer
23153802,electrical coil winding machine
23161501,foundry blowers
23161502,foundry burners
23161503,core drying ovens
23161506,foundry crucibles
23161507,foundry converters
23161510,casting machines
23161514,sizing or embossing presses
23161516,foundry mold machine
23161601,foundry bellows
23161602,foundry clays
23161603,foundry flasks
23161605,foundry ladles
23161606,foundry molds
23161607,foundry sand
23161608,foundry shovels
23161701,sand casting core box
23161702,sand casting pattern
23181501,filling machinery
23181502,milling machinery
23181504,sifting machinery
23181505,dehydrating machinery
23181506,washing machinery
23181507,crushing machinery
23181508,blanching machinery
23181509,sorting machinery
23181510,meat tyers
23181511,forming machine
23181512,cooling machine
23181513,preduster
23181601,dicing machinery
23181602,slicing machinery
23181603,chopping machinery
23181604,cutting machinery
23181605,grating machinery
23181606,peeling machinery
23181701,smoking machinery
23181702,roasting machinery
23181703,cooking machinery
23181704,steaming machinery
23181801,coffee brewing equipment or supplies
23181802,juicing machinery
23181803,ice making machines
23181804,ice cream machines
23181805,ice making machine parts and accessories
23191001,change can mixers
23191002,helical blade mixer
23191003,double arm kneading mixers
23191004,intensive mixers
23191005,roll mixers
23191101,single screw mixers
23191102,twin screw extruder
23191201,mixer plows
23191202,mixer blades
23201001,plate columns
23201002,packed columns
23201003,liquid dispersed contactor
23201004,wetted wall column
23201005,bubble columns
23201006,distillation column
23201007,distillation column packing
23201008,distillation tray
23201101,adsorber vessel
23201102,ambient pressure adsorber vessel
23201201,spray dryers
23201202,air dryers
23201203,fluidbed dryers
23201204,food drying equipment
23211001,chip placers
23211002,glue dispensing machinery
23211003,terminal insertion machine
23211101,semiconductor process systems
23221001,crate unloading system
23221002,crate washer
23221101,stunner
23221201,vent cutter
23231001,tool holder
23231002,carbide tool tip
23231101,bandsaw wheel
23231102,saw guide
23231201,saw spacer
23231202,saw arbor
23231301,infeed roller
23231302,hold down roll
23231401,lumber alignment guide
23231402,zero saw
23231501,j bars
23231502,bin sling
23231601,fillet holder
23231602,ending roll
23231701,baffle
23231801,knife clamp
23231901,base bed
23231902,rear shoe
23231903,water cooled guide
23232001,knife holder
23232101,adjustable fence
23232201,glue nozzle
23241401,bench grinder
23241402,surface grinding machine
23241403,internal grinding machine
23241404,external grinding machine
23241405,centerless grinding machine
23241501,abrasive jet machining equipment
23241502,electrochemical machine ecm
23241503,flame cutting machine
23241504,gear cutting tool
23241505,laser cutting machine
23241506,plasma cutting machine
23241507,sawing and cut-off machine
23241508,water jet cutting machine
23241601,boring tool
23241602,broach
23241603,countersink tool or counterbore tool
23241605,drill carbide
23241606,drills high speed steel
23241608,hob cutter
23241609,knives and skives
23241610,pipe or tube cutter
23241611,reamer
23241612,shaper cutter
23241613,shaving cutter
23241614,solid milling cutter
23241615,taps
23241616,wire or cable cutter
23241617,taper pin reamer
23241618,tower bolt reamer
23241619,pipe reamer
23241620,shell reamer
23241621,rod saw blade
23241622,single angle cutter
23241623,side milling cutter
23241624,plain milling cylindrical cutter
23241625,shell end milling cutter
23241626,convex cutter
23241627,concave cutter
23241628,corner rounding cutter
23241629,metal slitting saw
23241630,t slot cutter
23241631,woodruff seat cutter
23241632,dovetail cutter
23241633,gear shaper cutter
23241634,jobber length drill
23241635,screw machine drill
23241636,silver and deming drill
23241637,extra length or longboy drill
23241638,carbide tipped hole cutter
23241639,taper shank drill
23241640,multi step drill
23241641,mult step hex step drill
23241642,speed threader
23241643,hex shank reamer
23241701,shot blasting machine
23241702,thermal energy deburring machine
23241703,vibratory or barrel finishing machine
23241801,drill press or radial drill
23241802,gang drilling machine
23241803,gun drilling machine
23241804,numerically controlled drilling machine
23241805,rotary table drilling machine
23241901,horizontal boring machine
23241902,jig boring machine
23241903,metal broaching machines
23241904,internal broaching machine
23241905,surface broaching machine
23242101,bar or rod cutter
23242102,electrode holder
23242103,form relief
23242104,form tools or toolbits
23242105,indexable insert
23242106,indexable tool bodies or holders
23242107,insert carbide
23242108,insert ceramic
23242109,insert diamond
23242110,insert steel
23242111,lathe turret
23242112,metal cutting band saw blade
23242113,metal cutting circular saw blade
23242114,steady rest
23242115,tailstock
23242116,tapping machine attachment
23242117,threading machine attachment
23242118,knurling tool
23242201,bevel gear generator
23242202,gear hobbing machine
23242203,gear honing machine
23242204,gear lapping machine
23242205,gear shaping machine
23242206,gear shaving machine
23242207,gear grinding machine
23242301,automatic bar machine
23242302,automatic lathe or chucking machine
23242303,horizontal turning center
23242304,tracer or duplicating or contouring lathe
23242305,turret lathe
23242306,vertical turning center
23242307,leadscrew
23242401,horizontal machining center
23242402,multi-tasking or universal machining center
23242403,vertical machining center
23242501,bed milling machine
23242502,bridge milling machine
23242503,column and knee milling machine
23242504,gantry milling machine
23242505,profiling and duplicating milling machine
23242506,traveling column milling machine
23242601,beveling machine
23242602,burnishing machine
23242603,chamfering machine
23242604,lapping machine
23242605,metal polishing machine
23242606,skiving machine
23242607,super finishing machine
23242608,tool presetter
23242609,honing machine
23242610,diamond bore sizing machine
23242701,folded tube mill machinery
23242702,welded tube mill machinery
23251501,hydraulic press brake
23251502,manual press brake
23251503,metal folding machine
23251504,tangent bender
23251505,tube bending machine
23251506,tube end finisher
23251507,wing bender
23251601,thread rolling machine
23251701,forge shear press
23251702,impression and closed die forging press
23251703,open die forging press
23251704,radial forging machines
23251705,roll forging machines
23251706,rotary burrs
23251707,trim press
23251801,bend die
23251802,cutting die
23251803,die casting die
23251804,fine blanking die
23251805,forge die
23251806,metal extrusion die
23251807,metal stamp
23251808,pipe bending mandrel
23251809,rotary die
23251810,stamping die
23251811,steel rule die
23251812,threading die
23251813,cabling die
23251814,drawing die
23261501,fused deposition modeling machine
23261502,inkjet method machine
23261503,laminated object manufacturing machine
23261504,laser powder forming machine
23261505,selective laser sintering machine
23261506,stereolithography machine
23261507,three dimensional printing machine
23271401,submerged arc welding machine
23271402,ultrasonic welding machine
23271403,projection welding machine
23271404,plasma arc welding machine
23271405,laser welding machine
23271406,spot welding machine
23271407,tungsten inert gas welding machine
23271408,metal inert gas welding machine
23271409,shielded metal arc welding or stick welding machine
23271410,welding rectifier
23271501,furnace brazing machine
23271502,induction brazing machine
23271601,furnace soldering machine
23271602,induction soldering machine
23271603,soldering iron
23271604,wave soldering machine
23271605,reflow oven
23271606,selective soldering machine
23271701,blow pipe
23271702,blow torch
23271703,braze ring
23271704,desoldering gun
23271705,desoldering pump
23271706,desoldering tip
23271707,gas welding or brazing or cutting apparatus
23271708,temperature indicating stick
23271709,welding generator
23271710,welding or brazing tip cleaner file
23271711,welding or cutting tip
23271712,welding or soldering kit
23271713,welding positioner and manipulator
23271714,welding screen
23271715,welding tip dresser blade
23271716,welding tip dresser or accessories
23271717,flashback arrestor
23271718,welding blanket
23271801,anti spatter spray
23271802,brazing flux
23271803,desoldering braid
23271804,gas welding or brazing rod
23271805,iron powder
23271806,solder
23271807,soldering fluid
23271808,soldering flux
23271809,soldering tip
23271810,welding electrode
23271811,welding flux
23271812,welding rod
23271813,welding wire
23271814,cutting electrode
23271815,solder bar
23271816,solder paste
23271817,solder powder
23271818,solder wire
23271819,metal joining flux
23281501,anodizing machine
23281502,electrolytic bath machine
23281503,thermal spray machine
23281601,induction heating machine
23281602,quench machine
23281603,heat treating age hardening furnace
23281701,cladding machine
23281702,shot peening machine
23281801,electroplating rack
23281802,physical vapor deposition rack
23281901,electrochemical metal cleaner
23281902,chemical metal cleaner
23281903,mechanical or ultrasonic metal cleaner
23281904,aqueous cleaning and washing equipment
23281905,thermal degreasing equipment
23291501,brazed drill
23291502,exchangeable top or nosepiece drill
23291503,indexable insert drill
23291504,exchangeable top or nosepiece mill
23291601,milling insert
23291701,reamer blade
23291702,brazed reamer
23291703,solid reamer
23291704,indexable reamer
23291801,axial threading holder
23291802,external threading holder
23291803,internal threading holder
23291804,threading insert
23291901,boring head
23291902,rough boring tool
23301501,wire and cable cutting and terminal assembly equipment
24101501,carts
24101502,bulk transporters
24101503,dollies
24101504,hand trucks or accessories
24101505,pallet trucks
24101506,pushcarts
24101507,wheelbarrows
24101508,creepers
24101509,wagons
24101510,tilt trucks
24101511,shelf trolleys
24101512,power buggies
24101513,tugger
24101601,elevators
24101602,hoists
24101603,forklifts
24101604,lifts
24101605,loading equipment
24101606,stackers
24101608,winches
24101609,tilts
24101610,manipulators
24101611,slings
24101612,jacks
24101613,blocks or pulleys
24101614,air bags for loading
24101615,loading ramps
24101616,below the hook device
24101617,scissor lift or lift table
24101618,pipe layer
24101619,bridge cranes
24101620,track cranes
24101621,all terrain cranes
24101622,rough terrain cranes
24101623,tower cranes
24101624,hydraulic truck cranes
24101625,conventional truck cranes
24101626,escalator or walkways
24101627,girder trolleys
24101628,adjustable forks
24101629,forklift or elevator accessories or supplies
24101630,workshop cranes
24101631,suction cups
24101632,side shifts
24101633,hoist drums
24101634,chain bags
24101635,screw jacks
24101636,counter weight bag and counterweight
24101637,nylon fabric sling
24101638,wire rope sling
24101639,windlass
24101640,traversing gear unit
24101641,shackle
24101642,floating crane
24101643,laundry and dressing trolley
24101701,conveyor roller
24101702,ball transfer tables
24101703,rock bins
24101704,conveyor feeders
24101705,conveyor screw
24101706,trolleys or accessories
24101707,conveyor rails
24101708,extendable conveyors
24101709,roller conveyors
24101710,package stops
24101711,turntables
24101712,belt conveyors
24101713,bucket conveyors
24101714,air conveyors
24101715,conveyor belting
24101716,conveyor pulleys
24101717,conveyor idlers
24101718,conveyor belt lacing or fasteners
24101719,conveyor belt brushes
24101721,trolley lid
24101722,chain conveyors
24101723,motorized rollers or drums
24101724,conveyor frames
24101725,conveyor flights or links
24101726,conveyor liner
24101727,vibrating conveyors
24101728,conveyor mounts
24101729,elevator bucket
24101730,screw conveyor
24101731,conveyor skirt board
24101732,conveyor carrying idler bracket
24101733,conveyor return idler bracket
24101734,v plough scraper
24101735,air slide
24101736,dense phase conveying system
24101737,lean phase conveying system
24101738,rod gate
24101739,bulk receiving unit
24101740,high angle conveyor
24101741,internal belt scraper
24101742,external belt scraper
24101743,conveyor tail shaft
24101744,conveyor head shaft
24101801,dock levelers
24101802,dock seals
24101803,dock ramps
24101804,strip doors
24101805,dock bumpers
24101806,dock ladders
24101807,dock plates
24101808,wheel chocks
24101809,dock rails or accessories
24101901,drum openers
24101902,drum grabs
24101903,drum lifters
24101904,drum cradles
24101905,spill deck
24101906,drum recuperators
24101907,spill containment supports
24101908,drum stillage
24102001,rack systems for rack mount electronic equipment
24102002,bin handlers
24102004,storage racks or shelves
24102005,automated storage or retrieval systems
24102006,work benches
24102007,reel storage shelves
24102008,portable reel holders
24102009,wall mounted rails
24102010,glass shelving
24102101,cargo handling equipment
24102102,warehouse carousels
24102103,warehouse casers
24102104,depalletizers
24102105,palletizers
24102106,industrial shrink wrap equipment
24102107,cartoning machinery
24102108,packaging compactors
24102109,sack holders
24102201,stretch film dispensers
24102202,box sealing tape dispensers
24102203,bag sealing tools or equipment
24102204,strapping dispenser
24102208,air inflators
24102301,bar code guided automatic guided vehicle
24102302,wire guided automatic guided vehicle
24111501,canvas bags
24111502,paper bags
24111503,plastic bags
24111505,flexible intermediate bulk containers
24111506,laundry nets or bags
24111507,tool bags
24111508,tent bag
24111509,water bags
24111510,rope bags and rope packs
24111511,fiber mesh bag
24111801,reservoirs
24111802,air or gas tanks or cylinders
24111803,storage tanks
24111804,calibrating tanks
24111805,chemical tanks
24111806,dip tanks
24111807,expansion tanks
24111808,fuel storage tanks
24111809,processing tanks
24111810,water storage tanks
24111811,carboys
24111812,containment basin
24111813,rinse tanks
24112003,non metallic bins
24112004,metallic bins
24112005,metallic baskets
24112006,non metallic baskets
24112007,material handling racks
24112101,casks
24112102,barrels
24112108,metallic drums
24112109,non metallic drums
24112110,intermediate bulk containers
24112111,stabilizer
24112112,drum lid
24112204,metallic pails
24112205,non metallic pails
24112206,metallic flammable liquid cans
24112207,non metallic flammable liquid cans
24112208,spray kit
24112209,jerrycans
24112401,tool chests or boxes or cabinets
24112402,hazardous materials cabinets
24112403,tool belts
24112404,box
24112406,box or shelf partitions
24112407,mailboxes
24112408,antistatic boxes
24112409,box lids
24112411,road and flight case
24112412,equipment transportation case
24112501,slotted corrugated cartons
24112502,one piece die cut shipping cartons
24112503,die cut corrugated shipping cartons with separate lids
24112504,molded boxes
24112505,corrugated cardboard shapes
24112601,jugs
24112602,jars
24112701,wood pallet
24112702,plastic pallet
24112801,dry freight container
24112802,open top freight container
24112803,platform freight container
24112804,flatrack freight container
24112901,wooden crate
24113001,corrugated slip sheet
24113002,fiberboard or solid kraftboard slip sheet
24113003,plastic slip sheet
24121502,packaging pouches or bags
24121503,packaging boxes
24121504,carded packaging
24121506,conductive boxes
24121507,rigid set up boxes
24121508,egg trays
24121509,packaging trays
24121510,tea bag envelope
24121511,packaging carton
24121512,cold pack or ice brick
24121513,packaging case
24121801,aerosol cans
24121802,paint or varnish cans
24121803,beverage cans
24121804,food cans
24121805,steel cans
24121806,aluminum cans
24121807,plastic cans
24121808,fiberboard can
24122001,squeeze bottles
24122002,plastic bottles
24122003,glass bottles
24122004,caps or tops
24122005,applicator bottles
24122006,applicators
24131501,combined refrigerator freezers
24131502,liquid nitrogen refrigerators
24131503,walk in refrigerators
24131504,refrigerated containers
24131505,refrigerated vessels
24131506,refrigerated tanks
24131507,blast chiller
24131508,cabinet refrigerator
24131509,under counter refrigerator
24131510,counter refrigerator
24131511,bakery cabinet refrigerator
24131512,refrigerated counter preparation station
24131513,refrigerant
24131601,chest freezers
24131602,upright cabinet freezer
24131603,low temperature freezers
24131604,freeze drying equipment
24131605,walk in freezers
24131606,plate freezers
24131607,blast freezers
24131608,bakery cabinet freezer
24131609,under counter cabinet freezer
24131610,counter cabinet freezer
24131901,ice cube makers
24131902,ice block makers
24131903,ice flake maker
24141501,stretch wrap films
24141502,shrink wrap films
24141504,tamper proof or security seals
24141506,tarpaulins
24141507,anti static packaging films
24141508,carton corner support
24141510,cable protectors
24141511,load binders
24141512,packing absorbents
24141513,blister packs
24141514,packaging films
24141515,protective netting
24141516,dessicant
24141517,polyfilm
24141518,separator sheet
24141601,bubble wrap
24141602,thermoforming materials
24141603,cushioning
24141604,wadding materials
24141605,air filled packing materials
24141606,packing peanuts
24141607,cardboard inserts
24141608,protective ends
24141701,paper tubes or cores
24141702,tube or core end plugs
24141703,paper pieces
24141704,printed inserts or instructions
24141705,collapsible tubes
24141706,spool
24141707,reel
24141708,parcel handles
24141709,capsule tubes or caps
25101501,minibuses
25101502,busses
25101503,automobiles or cars
25101504,station wagons
25101505,minivans or vans
25101506,limousines
25101507,light trucks or sport utility vehicles
25101508,sports car
25101601,dump trucks
25101602,tow trucks
25101604,delivery trucks
25101609,sludge or sewage handling trucks
25101610,water trucks
25101611,cargo trucks
25101612,concrete transport truck
25101613,concrete pump truck
25101701,fire or rescue trucks
25101702,police vehicles
25101703,ambulances
25101801,motorcycles
25101802,scooters
25101803,mopeds
25101901,agricultural tractors
25101902,motor homes
25101903,snowmobiles or snow scooter
25101904,golf carts
25101905,all terrain vehicles tracked or wheeled
25101906,go cart
25101907,caravans or camper trailers
25101908,quads
25101909,amphibious vehicle
25101910,water sprinkling truck
25101911,aerial working platform truck
25101912,ladder lift truck
25101913,refrigerator truck
25101914,waste collection vehicle or garbage truck
25101915,oil tank truck
25101916,hopper truck
25101917,flatbed truck
25101918,neighborhood electric vehicle nev
25101919,road sweeper
25101920,tank trucks
25101921,van trucks
25102001,tanks
25102002,armored fighting vehicles
25102003,self propelled artillery
25102101,low cab forward tractors
25102102,long nose tractors with sleeper
25102103,long nose tractors without sleeper
25102104,cab over engine tractors with sleeper
25102105,cab over engine tractors without sleeper
25102106,tractor head
25111501,trawlers
25111502,fishing boats
25111503,cargo or container ships
25111504,dredging craft
25111505,tankers
25111506,tug boats
25111507,barges
25111508,passenger or automobile ferries
25111509,cruise ships
25111510,salvage ships
25111511,oil or gas crew boat
25111512,oil or gas workboat
25111513,seismic vessel
25111514,icebreaker
25111515,liquified gas carrier
25111516,inflatable rubber boat
25111517,hovercraft
25111518,hospital ship
25111519,racing boat or shell
25111520,buoy
25111521,marine anchor
25111601,lifeboats or liferafts
25111602,fire fighting watercraft
25111603,rescue ships or boats
25111701,submarines
25111702,aircraft carriers
25111703,ammunition ships
25111704,amphibious assault ships
25111705,amphibious transport docks
25111706,amphibious command ships
25111707,command ships
25111708,cruisers
25111709,destroyers
25111710,dock landing ships
25111711,fast combat support ships
25111712,frigates
25111713,fleet oilers
25111714,utility landing watercraft
25111715,mechanized or utility watercraft
25111716,mine hunting ships
25111717,mine countermeasures ships
25111718,coastal patrol watercraft
25111719,submarine tenders
25111720,tank landing ships
25111721,air cushioned landing watercraft
25111801,recreational sailboats
25111802,recreational motorboats
25111803,recreational rowboats
25111804,canoes or kayaks
25111805,personal motorized watercraft
25111806,rafts
25111807,dinghies
25111808,yachts
25111901,marine craft communications systems
25111902,marine propellers
25111903,sails
25111904,paddles
25111905,marine ballast systems
25111906,anchor chocks
25111907,anchor lines
25111908,anchor retrievers
25111909,anchor rollers
25111910,boat ramps
25111911,boathooks
25111912,boom vangs
25111913,deck hatches
25111914,dock rings
25111915,dock steps
25111916,emergency dye signals
25111917,fairleaders
25111918,furler systems
25111919,keel protectors
25111920,marine fenders
25111921,marine goosenecks
25111922,mooring whips
25111923,oarlocks
25111924,radar reflectors
25111925,marine rudders
25111926,sail battens
25111927,sail booms
25111928,sail covers
25111929,sheet bags
25111930,spinnaker poles
25111931,stern platforms
25111932,tell tales
25111933,tide clocks
25111934,tillers
25111935,whisker poles
25111936,marine thruster
25111937,mast boot
25121501,diesel freight locomotives
25121502,electric freight locomotives
25121503,diesel passenger locomotives
25121504,electric passenger locomotives
25121601,freight rail cars
25121602,tanker rail cars
25121603,passenger rail cars
