description,cpv
bridge plug parts and accessories,42000000
bulk liquid fracturing equipment,42000000
fracturing bulk proppant equipment,42000000
fracturing control units,42000000
fracturing density sensors,42000000
fracturing manifold units,42000000
fracturing proppant conveying equipment,42000000
fracturing pumping units,42000000
fracturing slurry blending units,42000000
gel blending units,42000000
fracturing missiles,42000000
pump integrity monitors,42000000
fracturing service packers,42000000
stimulation pumping units,42000000
blanking plugs,42000000
floaters,42000000
frac pack systems,42000000#43412000
gravel pack systems,42000000
guide shoes,42000000
hook up nipples,42000000
make up subs,33711420
production tubing overshots,44164200
sand control blanks,43811000
sand control bulk liquid equipment,43811000
sand control bulk proppant equipment,43811000
sand control density sensors,43811000
sand control manifold units,43811000
sand control proppant conveying equipment,43811000
sand control pumping units,43811000
sand control screens,43811000
sand control slurry blending units,43811000
sand detectors,43811000
seal assembly locators,44000000
shear joints,44000000
sleeve shifting tools,44165300
sliding sleeves,44165300
velocity strings,44000000
sand control ring,42000000#44000000
slotted pipe pattern,42000000#44000000
sand control screen parts and accessories,42000000#44000000
ball catcher subs,42000000#44000000
blast joints,42000000#44000000
blast nipples,42000000#44000000
completion bull plugs,42000000#44000000
circulation production devices,42000000
completion test equipment,42000000
control line protectors,42000000
deflection tools,44000000
completion expansion joints,44167100
flow couplings,44167100
gas lift equipment,42400000
hanger landing tools,42000000
completion hydraulic pumps,42000000
hydraulic setting tools,42000000
injection systems,42000000
landing nipples,44000000
liner hangers,43132500
packer pulling tools,43000000
packer running tools,43000000
production packers,43000000
pump down through flow line equipment,42000000
completion safety joints,42000000#44000000
completion seal assemblies,43000000
seal bores or polished bores,43000000
side pocket mandrels,42000000#43000000
subsurface safety valves,42000000
travel joints,44000000
tubing anchors,42000000
twin flow assemblies,42000000
inflatable packer,42000000
downhole control valve parts and accessories,42000000
cased hole completion repair kit ,42000000
sliding sleeve repair kit,42000000
setting adapter kit,42000000
plunger lift system parts and accessories,42000000
subsurface safety valve parts and accessories,42000000
gas lift valve parts and accessories,42000000
production packer mandrel,42000000
annulus casing packer sub,42000000
liner setting tool,42000000
drag block,42000000
liner packer setting tool kit,43000000
liner system repair kit,43000000
production packer parts and accessories,43000000
liner top packer,43000000
liner setting collar,42000000
junk bonnet,42000000
plunger lift equipment,42410000
gas lift mandrel,42000000
gas lift valve,42000000
blowout preventers,42000000
blowout preventer controls,42000000
casing scrapers,42113120#43612100
drill collars,44167200
coring equipment,42000000
drill pipe thread protectors,44000000
drill pipe tool joints,44000000
drill pipe,44000000
gauge rings,44000000
hole openers,42000000
hole reamers,42000000
downhole shock absorbers,43136000
downhole stabilizers,43136000
drilling subs,43130000
thrusters,43000000
wellbore hole reamer parts and accessories,42000000
rotating control head,42000000
rotating control head parts and accessories,42000000
blowout preventer parts and accessories,42000000
downhole shock absorber parts and accessories,42000000
casing scraper parts and accessories,42113120
drilling jar,43130000
drilling jar parts and accessories,43130000
fixed cutter drill bits,43000000
natural diamond drill bits,43000000
nozzle drill bits,43000000
pdc bits,43000000
roller cone button insert drill bits,43000000
roller steel tooth drill bits,43000000
core bits,43000000
bit block,43000000
continuous mining bit,43100000
feeder bit,42000000
longwall bit,42000000
roof drill bit,42000000
drill bit accessories,42000000
bumper subs,42000000
casing patches,42000000
jar boosters,42000000
junk subs,42000000
mills or burning shoes,42000000
overshots,42000000
oilfield fishing spears,42000000
unspecified fishing tools,42000000
fishing wash pipe and extension,42000000
overshot extension,42000000
fishing sub,34000000
casing patch parts and accessories,42000000
wash pipe drive bushing,42000000
fishing impression block,34513000
wireline system fishing kit,34513000
junk basket parts and accessories,42000000
overshot grapple,34513000
overshot control,34513000
overshot packer,34513000
overshot parts and accessories,34513000
fishing magnet,34513000
taper tap,44411100
fishing spear grapple,34513000
fishing spear parts and accessories,34513000
casing cutter,43000000
box tap,42000000
junk basket,34513000
fishing jar,34513000
geosteering tools,34000000
mud motors,42111000
rotary steerable tools,42000000
directional drilling surface control systems,42000000
straight hole directional drilling tools,42000000
logging while drilling tools lwd,42000000
logging while drilling tools lwd parts and accessories,42000000
directional drilling stabilizer,42000000
rotary steerable tools parts and accessories,42000000
directional drilling sub,42000000
directional drilling thruster,42000000
directional drilling drill collar,42000000
mud motor parts and accessories,42000000
acoustic tools,42111000
drilling or mud control instruments,43130000
drilling performance measurement tools,43000000
flow measurement equipment,38000000
nuclear magnetic resonance tools,33113110
nuclear tools,42000000
production logging equipment,42000000
resistivity tools,31711131
surveying systems,38296000
telemetry systems,32441000#38291000
ultrasonic tools,33112200
well logging bottom hole pressure equipment,38423000
well logging downhole test equipment,43000000
well logging units,43000000
bulk density log,38000000
optical sensing downhole cable,32000000#31000000
optical sensing mandrel and accessories,32000000#31000000
optical sensing surface cable,32000000#31000000
casing inspection tool and accessories,38000000
freepoint indicator tool and accessories,38000000
radiation survey meter,38341000#38000000
gamma ray tool parts and accessories,38000000
well imaging tool and parts,43000000
drift bars,34000000
drift sleeves,34000000
drift rabbits,34000000
test fixtures,38000000
test nipples,44000000
test plugs,44000000
capsule guns,35312000
casing guns,35312000
deployment heads,48000000
perforating explosives,35000000#24600000
firing heads,35000000
gun adapters,35000000
high shot density guns,35000000
perforating bull plugs,44000000
plug setting tools,44000000
perforating positioning equipment,38000000
scalloped guns,35000000
tandem subs,44000000
through tubing perforation gun accessories,44164200
through tubing perforation guns,44164200
under balance vent subs,32000000
flare booms,43000000
flare burners,42000000
cased hole test tools,43000000
choke manifolds,42131320
diverting manifolds,42000000
flowhead baskets,42000000
flowhead swivels,42000000
flowheads,42000000
formation shut in tools,42000000
gas flares,76000000
mud gas analyzers,42000000
oil samplers,42000000
well testing separators,43121500
well testing surface piping,43121500
surge tanks,44611000
well testing downhole tools,43121500
slickline adapter heads,42000000
slickline backoffs,42000000
slickline bell guides,42000000
slickline blind boxes,42000000
slickline bottom hole pressure equipment,42000000
slickline caliper tools,42000000
slickline cement dump bailing equipment,42000000
slickline chemical cutters,42000000
slickline clamp on tool string centralizers,42000000
slickline clamp on wireline centralizers,42000000
slickline collar locators,42000000
slickline collectors,42000000
slickline colliding tools,42000000
slickline crossovers,42000000
slickline depth measurement equipment,42000000
slickline dewar flasks,42000000
slickline dipmeter tools,42000000
slickline directional tools,42000000
slickline go devil tools,42000000
slickline hole punchers,42000000
slickline jet cutters,42000000
slickline junk shots,42000000
slickline kickover tools,42000000
slickline knuckle joints,42000000
slickline lead impression blocks,42000000
slickline locator mandrels,42000000
slickline lock mandrels,42000000
slickline lubricators,42000000
slickline mechanical bailers,42000000
slickline mechanical plugbacks,42000000
other slickline tools,42000000
slickline paraffin scrappers,42000000
slickline rope sockets,42000000
slickline running or pulling prongs,42000000
slickline severing tools,42000000
slickline sheaves or floor blocks,42000000
slickline pulling tool accessories,42000000
slickline pulling tools,42000000
slickline running tools,42000000
slickline units,42000000
slickline wire,42000000
slickline sonic tools,42000000
slickline spacer bars,42000000
slickline swages,42000000
slickline tension devices,42000000
slickline tubing plugs,42000000
slickline ultrasonic tools,42000000
wireline grabs,42000000
wireline jars,42000000
wireline scrapers,42000000
wireline spear,42000000
wireline stems,42000000
wireline valves,42000000
wireline preventers,42000000
wireline jar accelerators,42000000
test dart,42000000
slickline running tool parts and accessories,42000000
wireline broach ,42000000
standing valve,42000000
wireline bell guide,42000000
wire finder,42000000
wireline tool string,42000000
slickline centralizer parts and accessories,42000000
magnetic decentralizer,42000000
wireline pulling tool,42000000
wireline mandrel,42000000
wireline setting tool,42000000
wireline crossover,42000000
slickline centralizer,42000000
wireline swivel joint,42000000
slickline kickover tool parts and accessories,42000000
cable thumpers,38431300
oilfield production evaporators,38000000
hipot testers,38000000
oilfield lapping machines,42000000
motor end lifts,42000000
oil dielectric testers,38000000
oil vacuum filling units,42000000
oilfield production shaft straighteners,42000000
oilfield production spoolers,42000000
vibration analyzers,38000000
blaster tools,42000000
coiled tubing truck crane units,42000000
coiled tubing units,42000000
coiled tubing hose packages,42000000
coiled tubing inflatable systems,42000000
coiled tubing injector heads,42000000
coiled tubing lifting equipment,42000000
operator houses,42000000
coiled tubing power packs,42000000
coiled tubing reels,42000000
coiled tubing spooling reels,42000000
tubing guides,44164200
wellhead hookups,43612700
wellhead support structures,43612700
oilfield coiled tubing,44000000
coiled tubing tool string,44000000
coiled tubing centralizer,44000000
seismic analog sensors,38000000
seismic arrays,38000000
seismic streamer cable birds,38000000
seismic drill tankers,38000000
seismic geophones,38000000
seismic gravity systems,38000000
seismic gun winch systems,38000000
seismic hydrophones,38000000
seismic impulse sources,38000000
seismic marine streamer cables,38000000
seismic ocean bottom cables,38000000
seismic magnetic systems,38000000
seismic positioning equipment,38000000
seismic rams,38000000
seismic receivers,38000000
seismic refraction systems,38000000
seismic source controllers,38000000
seismic spooling devices,38000000
seismic tow blocks,38000000
seismic tow points,38000000
seismic vibrators,38000000
seismic recording systems,38000000
seismic data processing systems,38000000
oil country casing,44164100
oil country couplings,44167100
oil country pup joints,44000000
oil country tubing,44000000
oil country pipe coatings,44000000
conductor casing,44164100
conductor casing running equipment,44164100
drill pipe crossovers,44000000
oil country thread protectors,44000000
casing stop device,43000000
mud agitators,42000000#43000000
mud tanks,43000000#44000000
air drilling equipment,43130000
barge rigs,34000000
fluid diverters,42000000
drawworks,42000000
drill floor equipment,43130000
drill swivels,43130000
drilling rig ships,43130000
drill rig elevators,43130000
drill rig bails,43130000
hydraulic workover units,43328100
drill rig jacking systems,43612800
jackup marine drilling rigs,34000000
kelly bushings,42000000
kelly valves,42000000
kelly wipers,42000000
kellys,42000000
land drilling rigs,43000000
mud cleaning equipment,42000000
mud manifolds,42000000
mud mixers,42000000#43000000
pipe handling equipment,42410000
platform drilling rigs,34514300
power swivel or top drives,42000000
rig skids,42000000
drill rig risers,34000000
drill rig rotary tables,43000000
self elevating workover platforms,34000000
semi submersible drilling rigs,34514600
drill floor slips,43000000
makeup tongs,42000000
iron roughnecks,43000000
traveling equipment,39000000
workover boats,34520000
workover rigs,34510000
shale shakers,42000000
mud degassers,42900000
crown blocks,44111600
traveling blocks,44111600
mud desanders,42900000
mud dessilters,42900000
power tongs,42000000
pipe handling equipment parts and accessories,42410000
stabbing board,44000000
lift sub and plug,42000000
horizontal makeup device or bucking unit parts and accessories,42000000
well casing spider,43000000
hydraulic power unit,43000000
surface data logging conduits,43000000
surface data logging sensors,43000000
surface data logging units,43000000
multilateral casing,43000000
multilateral junctions,43000000
multilateral packers,43000000
multilateral packer parts and accessories,42000000
casing exit setting tool,43000000
casing exit whipstock,43000000
slotted expandable setting tool,42000000
expandable sand screen hanger repair kit,43000000
expandable liner,43000000
drill shoe,18000000
drill shoe parts and accessories,18000000
drilling spear,43130000
drilling spear parts and accessories,43130000
filtration control agents,24000000
fluid spacers,42000000
lost circulation agents,24000000
oil based muds,24951110
rate of penetration enhancers,24000000
spotting fluids,24000000
synthetic based muds,24951130
mud thinning agents,24000000
water based muds,24950000
mud weighting agents,24000000
ceramic proppants,44111300
fracturing sands,14213000
resin coated ceramic proppants,44111300
resin coated fracturing sands,14213000
resin coated sintered bauxites,14213000
sintered bauxites,14213000
divalent brines,14000000
monovalent brines,14000000
oil well bulk cement,44111200
oil well class a type i cement,44111200
oil well class b type ii cement,44111200
oil well class c cement,44111200
oil well class g cement,44111200
oil well class h cement,44111200
oil well lightweight cement,44111200
oil well standard fine type iii cement,44111200
wellhead actuators,42000000
wellhead beam pumps,43612400#42000000
wellhead flow lines,42000000
wellhead gate valves,42000000
wellhead production chokes,42000000
wellhead sub surface flow or christmas trees,43612400
wellhead surface flow or christmas trees,43612400
wellhead surface safety valves,42000000
tubing head adapter,43612700
casing head housing,44164100
tubing head spool,44164200
casing head spool,44164100
wellhead tees or crosses,43612700
wellhead landing base,43612700
wellhead carrier body,43612700
wellhead hanger,43612700
paraffin injection systems,42000000
production desanding equipment,42000000
downhole jet pumps,42122000
downhole jet pump parts and accessories,42122000
drill tubing,43000000#44164000
tubing stops,42122000
electric downhole pumps,42122000
pneumatic export pumps,42122000
fixed offshore production platforms,43131000
floating offshore production platforms,43131000
floating offshore storage platforms,43131000
floating offshore tension leg production platforms,43131000
floating offshore tension leg storage platforms,43131000
well production gas turbine meters,42112300
oil well production gas treating equipment,43000000
oil well glycol regenerators,42000000
oil well heater treaters,42000000
electrical line heaters,42000000
pneumatic methanol injections skids,42000000
subsea production wellhead equipment,43612700
subsea umbilicals or flexible pipes,44163100
subsea production manifold system,43000000
vertical annular separation and pumping system,43000000
subsea christmas tree and component,43000000
oil field water oil centrifuges,42931000
wireless production control systems,42000000
sucker rod pump jacks,42000000
rod pumps,42122000
mechanical rod pumps,42122000
pumping frame and extension assembly,42000000
crank arm assembly,42000000
equalizer pitman assembly,42000000
horsehead assembly,42000000
samson post assembly,42000000
walking beam assembly,42000000
hanger bar assembly,42000000
oil water separators,42000000
oil storage tanks,44611410
fiberglass holding tank ,44611000
steel holding tank ,44611000
plastic holding tank ,44611000
alloy steel sucker rods,44332000
pony rods,44332000
continuous sucker rod,44332000
continuous sucker rod pin end,44332000
sucker rod shear coupling,44167100
pipeline pig,44161710
ploughs,16110000
harrows,16110000#16120000 
cultivators,16120000
weeders,16120000
hoeing machines,16120000
graders or land levelers,16110000#16150000
agricultural rollers,16160000
rollers for lawn or sports grounds,16150000
trencher drainage machine,16710000
irrigation trickles,43323000
irrigation overheads,43323000
disks,30000000
subsoilers,16000000
dibblers,16160000
planters,16130000
transplanters,16130000
grain drills,16000000
seed drills,16000000
seed treating equipment,16000000
hole diggers,16000000
seeder attachment,16130000
mowers,16311100
haymaking machinery,16320000
harvesters,16311100#16340000 
combine harvesters,16000000
threshing machines,16340000
crop dividers,16000000
harvester parts or accessories,16000000
mower parts or accessories,16310000
sprayers,16400000
dusters,16400000
water sprinklers,16400000#44115500#43323000 
fertilizer spreaders or distributors,16141000
fog or mist generators,42924300
composter,39234000
pollination equipment or supplies,16613000
frost protection equipment,16400000
milking machines,16620000
animal husbandry equipment,16000000
incubators or brooders for poultry,16651000
feed mixers,16000000
livestock identification equipment,16650000#03341000#35121600 
egg inspection or collecting equipment,16651000
animal watering machines,16000000
milk cooling tanks,44611400
animal shearing or clipping equipment,16000000
wool comb,39000000
cleaning machines for seed or grain or dried leguminous vegetables,16613000
sorting machines for seed or grain or dried leguminous vegetables,16613000
grading machines for seed or grain or dried leguminous vegetables,16000000
rice cleaning or hulling equipment,16000000
grinding mills,16000000
hammer mills,16000000
agricultural briquetting or pelting machines,16000000
decorticators,16000000
lumbering equipment,16000000
reforestation equipment,16000000
forestry saws,16820000
forestry skidders,16820000
forestry increment borers,16820000
forestry ipsometer,16820000
greenhouse irrigation equipment,43323000#03000000
greenhouse pots,16000000
greenhouse ventilation equipment,42520000
greenhouse isolation equipment,42520000
beekeeping equipment,16640000
silkworm equipment,03000000
butterfly breeding equipment,03000000
beetle breeding equipment,03000000
commercial fish hooks,37413000
commercial fishing reels,03300000
commercial fishing line tackle,03300000
commercial fishing nets,37413000
commercial fishing floats,03300000
commercial sinkers or weights,03300000
fishing net haulers,03300000
marine hatchery equipment,16000000
pisciculture supplies,03000000
front end loaders,43251000
graders,43221000
pile drivers,43311000
rollers,43312400#43312500 
tampers,43240000
trenching machines,43210000
backhoes,43251000
compactors,43315000
draglines,43262100
dredgers,43262100
ditchers,43262100
elevating scrapers,43230000
twin engine open bowl scrapers,43230000
twin engine elevating scrapers,43230000
pulled scrapers,43230000
track bulldozers,43211000
wheel bulldozers,43211000
mobile excavators,43262100
wheel excavators,43262100
track excavators,43262100
integrated tool carriers,43261100
wheel loaders,34144710
skid steer loaders,43262100
open bowl scrapers,43230000
snow blowers,43313200
track loaders,43262100
treedozers,16310000#43210000
combat earthmovers,22800000#79131000
pile extractor,43314000
tire washer,44532200
ramming equipment,16000000
road wideners,16000000
vibratory plates,42000000
asphalt finishers,44000000
chip spreaders,34000000
road pavers,44000000
cold planers,43312100
paving material mixers,43000000
aggregate spreaders,34000000#43000000
bituminous material distributors,43412000
road rooters,44000000
road surface heater planers,44000000
concrete paving strike offs,44000000
paving breakers,43312300
curbing machines,43413000
grouting machines,04300000
trackway surfacing outfits or its laying mechanisms,43500000
scrubbing machines,42000000
joint cleaning or refacing machines,42000000
asphalt distributor,44113620
asphalt recycler,44113620
concrete paving and finishing machine,44000000
road marking machine,34922100
concrete surfacing machine,44000000#43000000
asphalt mixing plant,44000000
asphalt melter,44000000
aggregate washer,44532200
aggregate dryer,42000000
roadmarking remover,34000000
earthmoving shovels,44511120
earthmoving buckets or its parts or accessories,43210000
blades or tooth or other cutting edges,42113172
scarifiers,16120000
track links or track shoes or its parts,42000000
dippers,42000000
taglines,42000000
rippers,16000000
grapples,44000000
snowplow attachments,43313000
paving breaker tools or accessories,43312300
pile driver tools or its parts or accessories,43311000
backhoe boom or boom sections,43250000
tamper parts or repair kits,34000000
batching plants or feeders,44000000
construction machinery conversion kits,43300000
earth moving moldboards,43210000
grader control systems,43220000
grader frame saddles,43220000
trencher crumber shoes,43000000
stake driver bits and accessories,42000000
manlift or personnel lift,42416000
platform lift,42416000
articulating boom lift,42416000
telescoping boom lift,42416000
concrete mixers or plants,43200000#43320000
plaster or mortar mixers,43413000
rotary tiller mixers,16000000
curing machines,42000000
concrete spreaders,43000000
shoring equipment,43000000
trench braces,44000000
demolition equipment kits,44000000
coping machines,42638000
drilling machines,43130000#43132100
broaching machines,42000000
bending machines,42633000
boring machines,43124000
grinding machines,43414000
molding machines,42000000
cutting machines,42000000#43000000
sanding machines,43811000
polishing machines,42000000
turning machines,42000000
sawing machines,43812000
milling machines,42637300
planing machines,42000000
engraving machines,42962500
glass bead peener machines,42000000
grit blast machines,42000000
shot peen machine,42000000
robot machines,42000000#42997300
ram electro discharge machines,42000000
wire cathode electrode discharge machine,42000000
chip breaker,42000000
oscillating spindle sander,42000000
drum sander,42000000
distillate hydroprocessing equipment,42000000
crude distilling machinery,42000000
catalytic cracking equipment,42000000
hydrocracking equipment,42000000
isomerization machinery,42000000
coking machinery,42000000
gas recovery machinery,42000000
naptha hydrotreater,42000000
distillate hydrotreater,42000000
catalytic feed hydrotreater,42000000
lube hydrotreater,42000000
gasoline hydrotreater,42000000
resid hydrotreater,42000000
embroidery making machines,42711000
felting machines,42000000
winding or reeling or spooling machines,42000000
twisting machines,42000000
stitch bonding machines,42000000
knitting machines,42714000
weaving machines,42713000
finishing machines,42000000
spinning machines,42712000
lace making machines,42000000
button covering machines,42715000
button sewing machines,42715000
buttonhole machines,42715000
cloth cutting machines,42000000
cushion filling machines,42000000
folding or rewinding machines,42000000
bleaching machines,42000000
fabric or cloth folding machines,42000000
reeling or unreeling machines,42000000
dyeing machines,42000000
cutting or pinking machines,42000000
sewing machine needles,39227110
silk processing machines,42000000
sewing machines,42715000
fabric cutting tables,39121200
abrasive compounds,14522400#14811000
felt wheels,39562000
grinding wheels,14811300
polishing compounds,39800000
polishing heads,39800000
polishing wheels,39800000
sanding cloths,39510000
sanding drums,39000000
tumblers or polishers,42000000
tumbling supplies or media,44000000
water swivels,42000000
water trays,39221160
sanding blocks,44111600
mounted stones,44000000
grinding wheel dressers,43000000
faceting accessories,42000000
faceting machines,42000000
faceting laps,42000000
faceting saws,42000000
cabbing accessories,31000000
cabbing belts,42000000
cabbing discs,42000000
cabochon machines,42000000
leather fleshing machines,42711000
leather tanning machines,42700000
leather dyeing machines,42700000
leather degreasing machines,42700000
leather presses,42700000
leather cutting machines,42700000
leather riveting machines,42700000
leather nailing machines,42700000
leatherworking workshop equipment,42700000
blow molding machines,42000000
coating machines,42000000
extruders,42000000
injection molding machines,42000000
rubber or plastic presses,42000000
thermo forming machines,43000000
vacuum molding machines,42000000
vulcanizing machines,42000000
plastic cutting machinery,42994200
plastic grinding machinery,42994200
rubber or plastic mills,42994200
rubber or plastic extrusion dies,42994200
plastic injection molds,42994200
thermoforming molds,42000000
ejector pins,42000000
in mold decoration imd cylinder,42000000
dip molding equipment,42000000
urethane foam molding and processing equipment,42000000
rotational molding equipment,42000000
blowers or dryers,39000000
crushers,42000000
fusion welding or glass drawing machines,42000000
grinding or polishing machines,43414000
cement or ceramic or glass or similar material molding machines,42000000
presses,42000000
sifters,39000000
lens grinding machines,43414000
lens measuring equipment,38000000
lens polishing equipment,42000000
lens testing equipment,42000000
optical vacuum coating equipment,42000000
ampoule filling equipment,42000000
bottle cappers or cotton inserters or safety seal applicators,42000000
capsulating machines,42000000
reactors or fermenters or digesters,42000000
filling or sealing auger dose machines,42921000
pharmaceutical filters or ultra filters,42000000
freezedryers or lyophilzers,42000000
granulators,42000000
pharmaceutical sieve or screening machines,43411000
sterile or aseptic processing or filling machines,42921000
tablet or capsule testing machines,33000000
tablet counters,33100000
tabletting machines,33000000
vaccine production equipment,33000000
chromatography columns,38432200
chromatography media,38432200
sterility test devices,33000000
filter integrity testers,33000000
filter cartridge adapter,30000000
adapters or connectors or fittings for pharmaceutical filter housings,33000000
diagnostic radiopharmaceutical,33000000
pharmacy compounder or accessories,33000000
cutters,42000000
slitters,42000000
washing or dewatering machines,42716120
winders,42000000
wood pulp or dissolver machines,42000000
calenders for paper or cardboard making,30199792
screen drum or sieve,42000000
corona treaters,42000000
flame treaters,42000000
vibratory separation equipment or parts or screens,42000000
stationary separation equipment or parts or screens,42000000
air classification equipment or parts or screens,42000000
centrifugal separation equipment or parts or screens,42000000
electromechanical vibrator,42000000
urethane profile vibratory separation screen,42000000
profile wire vibratory separation screen,42000000
punch plate vibratory separation screen,42000000
urethane coated punch plate vibratory separation screen,42000000
urethane or rubber wire vibratory separation screen,42000000
woven wire vibratory separation screen,42000000
urethane coated woven wire vibratory separation screen,42000000
rotary tables,43611500
stack stands,39000000
engine or component test stands,42000000
machine guarding,42000000
band saw tables,39121200
barrier guarding,42000000
wrapping machinery,42921300
form or fill or seal machinery,42000000
packaging vacuum,42000000
packaging hoppers,42000000
carton forming machines,42000000
taping machines,42000000
packaging machinery supplies,42921320
calibration jig,42000000
guide jig,42000000
master jig,42000000
needle jig,42000000
shaft jig,42000000
checking jig,42000000
setting jig,42000000
camera jig,42000000
pickup jig,42000000
removal jig,42000000
nozzle jig,42000000
sliding jig,42000000
centering jig,42000000
inspecting jig,42000000
feeder jig,42000000
clutch jig,42000000
alignment jig,42000000
positioning jig,42000000
lifter plate,44170000
tape guide,44000000
tape feed jaw,42000000
power feeder,42000000
feeder harness,31000000
feed jaw,42000000
mechanical gripper,42000000
holder jaw,42000000
jaw assembly,42000000
stationary jaw,42000000
jig block,43000000
linear motion guides,42000000
measuring jigs,42000000
ring jigs,42000000
throat plate,42715000
machine rails,42000000
finger plates,39221210
keeper plates,44171000
feed roll assembly,42000000
trestle,44000000
machine rail carriage,34622400
pitch stopper,34600000
paper stopper,39000000
stopper pad,39000000
machine way wipers,42000000
machine mounts or vibration isolators,31000000
wear plates or bars or strips,44000000
dust deflectors,42000000
sprocket hubs,42000000
feed or drive rollers,43000000
feed roller covers,39000000
saw dust chutes,42000000
machinery dust covers,39000000
cutting or chipping heads,43000000
guide beds,39000000
link arms,42000000
electro discharge machine edm wire,42000000
accordion bellows,37000000
spray nozzle,44000000
spray block,42924300
paint robots,42000000
pick or place robots,42000000
sealant adhesive robots,42000000
welding robots,42000000
machine tending robot,42000000
material removal robot,42000000
adhesive or glue application systems,42000000
assembly fixtures,42000000
specialty assembly,42000000
assembly systems for chassis vehicle operation vo,42000000
unlimited component assembly,42000000
powertrain complete lines,42000000
surface mount device,31000000
fill test,42000000
non portable nutrunner multispindle,42000000
body skids,42000000
tire mounting inflating,34000000
gullotine shears,42000000
glass insertion pick up pu application,42000000
articulating lazy arms,30000000
automatic chassis decking,42000000
flexible components,42000000
miscellaneous assembly machines,42000000
custom assembly fixtures or tooling,42000000
custom single station machine,42000000
wire and cable assembly machine,42000000
paint application system,42000000
paint booth repair,42000000
paint systems ovens,42000000
paint plant layout or engineering,42000000
turn key paint system,42000000
phosphate or e coat paint system,42000000
miscellaneous or miscellaneous paint shop,44810000
miscellaneous paint systems,44810000
acid etch marking machines,42000000
laser marking machine,42000000
pinstamp marking machine,42000000
laser etching tool,42600000
pulse tool,42600000
nutrunner,42600000
electrostatic fluxer,38000000
electrical coil winding machine,42000000
foundry blowers,43420000
foundry burners,42000000
core drying ovens,42000000
foundry crucibles,43400000
foundry converters,43400000
casting machines,43720000
sizing or embossing presses,22521000
foundry mold machine,43400000
foundry bellows,43400000
foundry clays,43400000
foundry flasks,43400000
foundry ladles,43400000
foundry molds,43400000
foundry sand,43400000
foundry shovels,43400000
sand casting core box,43720000
sand casting pattern,43720000
filling machinery,42215000
milling machinery,42215000
sifting machinery,42000000
dehydrating machinery,42000000
washing machinery,42000000
crushing machinery,42215000
blanching machinery,42000000
sorting machinery,42000000
meat tyers,34350000
forming machine,43400000
cooling machine,42000000
preduster,42000000
dicing machinery,42215000
slicing machinery,42000000
chopping machinery,42000000
cutting machinery,42000000
grating machinery,42000000
peeling machinery,42000000
smoking machinery,42000000
roasting machinery,42000000
cooking machinery,42000000
steaming machinery,42000000
coffee brewing equipment or supplies,39711310#42000000
juicing machinery,42000000
ice making machines,42000000
ice cream machines,42000000
ice making machine parts and accessories,42000000
change can mixers,43411000
helical blade mixer,42000000
double arm kneading mixers,42000000
intensive mixers,42000000
roll mixers,42000000
single screw mixers,43411000
twin screw extruder,42000000
mixer plows,42000000
mixer blades,42000000
plate columns,42000000
packed columns,42000000
liquid dispersed contactor,42000000
wetted wall column,42000000
bubble columns,42000000
distillation column,42000000
distillation column packing,42000000
distillation tray,42000000
adsorber vessel,44610000
ambient pressure adsorber vessel,44615000
spray dryers,39721300
air dryers,39721320
fluidbed dryers,31510000
food drying equipment,39221000
chip placers,42000000
glue dispensing machinery,42000000
terminal insertion machine,42000000
semiconductor process systems,31712330
crate unloading system,42418920
crate washer,42000000
stunner,42210000
vent cutter,42000000
tool holder,42671000
carbide tool tip,24311120
bandsaw wheel,34000000
saw guide,42113172
saw spacer,42113172
saw arbor,42113172
infeed roller,42000000
hold down roll,42000000
lumber alignment guide,42000000
zero saw,42113172
j bars,44331000
bin sling,42642000
fillet holder,15210000
ending roll,42642000
baffle,42000000
knife clamp,42000000
base bed,39000000
rear shoe,42000000
water cooled guide,42000000
knife holder,39141000
adjustable fence,34928200
glue nozzle,42000000
bench grinder,44143000
surface grinding machine,42000000
internal grinding machine,42000000
external grinding machine,42000000
centerless grinding machine,42000000
abrasive jet machining equipment,42000000
electrochemical machine ecm,42000000
flame cutting machine,42000000
gear cutting tool,34000000
laser cutting machine,42000000
plasma cutting machine,42000000
sawing and cut-off machine,42000000
water jet cutting machine,42000000
boring tool,42620000
broach,18100000
countersink tool or counterbore tool,42000000
drill carbide,43130000
drills high speed steel,43130000
hob cutter,39711420
knives and skives,39241100
pipe or tube cutter,42000000
reamer,42620000
shaper cutter,42000000
shaving cutter,42000000
solid milling cutter,42000000
taps,44411100
wire or cable cutter,42000000
taper pin reamer,42620000
tower bolt reamer,42620000
pipe reamer,42620000
shell reamer ,42620000
rod saw blade,42113172
single angle cutter,42620000
side milling cutter,42620000
plain milling cylindrical cutter,42620000
shell end milling cutter,42620000
convex cutter,42620000
concave cutter,42620000
corner rounding cutter,42620000
metal slitting saw,42113172
t slot cutter,42620000
woodruff seat cutter,42620000
dovetail cutter,42620000
gear shaper cutter,42620000
jobber length drill,43130000
screw machine drill,43130000
silver and deming drill ,43130000
extra length or longboy drill,43130000
carbide tipped hole cutter,42620000
taper shank drill,43130000
multi step drill,43130000
mult step hex step drill,43130000
speed threader,42000000
hex shank reamer,42000000
shot blasting machine,42000000
thermal energy deburring machine,42000000
vibratory or barrel finishing machine,42000000
drill press or radial drill,42000000
gang drilling machine,42000000
gun drilling machine,42000000
numerically controlled drilling machine,42000000
rotary table drilling machine,42000000
