Description,CPV
kjønnshormoner og andre genitalsystemmodulerende midler,33641300
svangerskaps forebyggende midler,33641400
orale svangerskaps forebyggende midler,33641410
kjemiske svangerskaps forebyggende midler,33641420
hormoner til systemisk bruk ekskl kjønnshormoner,33642000
hypofyse- og hypothalamushormoner og analoger,33642100
kortikosteroider til systemisk bruk,33642200
tyreoideahormoner og antityreoide substanser,33642300
antiinfektive midler for systemisk bruk vaksiner cytostatika/cytotoxiske midler samt immunmodulerende midler,33650000
antiinfektive midler for systemisk bruk,33651000
antibakterielle midler for systemisk bruk,33651100
antimykotika for systemisk bruk,33651200
midler mot mykobakterier,33651300
virushemmande midler for systemisk bruk,33651400
immunsera og immunglobuliner,33651500
antiserum,33651510
immunoglobuliner,33651520
vaksiner,33651600
vaksiner mot difteri kikhoste og stivkrampe,33651610
vaksiner mot difteri og stivkrampe,33651620
bcg-vaksiner (tørkede),33651630
vaksiner mot meslinger kusma og røde hunder,33651640
vaksiner mot tyfus,33651650
influensavaksine,33651660
poliovaksiner,33651670
vaksiner mot hepatitt b,33651680
vaksiner til veterinær bruk,33651690
antineoplastiske og immunmodulerende midler,33652000
cytostatika/cytotoksiske midler,33652100
legemidler til endokrin terapi,33652200
immunsuppressive midler,33652300
legemidler som virker på nervesystemet og sanseorganer,33660000
legemidler som virker på nervesystemet,33661000
anestetika,33661100
analgetika,33661200
antiepileptika,33661300
antiparkinsonmidler,33661400
neuroleptika beroligende midler og søvnmidler,33661500
psykoanaleptika,33661600
andre legemidler med virkning på sentralnervesystemet,33661700
legemidler som virker på sanseorganer,33662000
midler til øyesykdommer,33662100
legemidler som virker på åndedrettsorgan,33670000
midler til obstruktive lungesykdommer,33673000
hoste- og forkjølelsesmidler,33674000
antihistaminer til systemisk bruk,33675000
farmasøytiske artikler,33680000
sutter brystvorte beskyttere ol produkter til spedbarn,33681000
gummifliser,33682000
gummipolstring,33683000
diverse legemidler,33690000
midler mot parasitter insektsdrepende og repellerende midler,33691000
midler mot protozoer,33691100
anthelmintika,33691200
midler mot ektoparasitter inkl skabbmiddel insektsdrepende og repellerende midler,33691300
medisinske oppløsninger,33692000
infusjons oppløsninger,33692100
parenterale næringsprodukter,33692200
parenterale næringsoppløsninger,33692210
enterale næringsmidler,33692300
perfusjons oppløsninger,33692400
injeksjons oppløsninger,33692500
intravenøse væsker,33692510
galeniske oppløsninger,33692600
glukose oppløsninger,33692700
dialyse oppløsninger,33692800
alle andre terapeutiske midler,33693000
toksiner,33693100
nikotinerstatninger,33693200
avhengighetsbehandling,33693300
diagnostiske midler,33694000
alle andre ikke-terapeutiske midler,33695000
reagenser og kontrastmidler,33696000
reagensmidler til blodtypebestemmelse,33696100
reagensmidler til blodprøver,33696200
kjemiske reagenser,33696300
isotopreagenser,33696400
laboratoriereagenser,33696500
reagenser til elektroforese,33696600
urologiske reagenser,33696700
kontrastmidler til røntgenundersøkelse,33696800
medisinske preparater med unntak av forbruksartikler for tannhelse,33697000
tarmskyllingsmidler (klystér),33697100
benoppbygning sement,33697110
kliniske produkter,33698000
mikrobiologiske kulturer,33698100
kjertler og kjertelekstrakter,33698200
pektin substanser,33698300
personlig pleieprodukter,33700000
parfyme toalettartikler og kondomer,33710000
parfymer og toalettartikler,33711000
eau de toilette,33711100
deodoranter,33711110
antiperspiranter (svette hemmende midler),33711120
eau-de-cologne,33711130
duftstoffer,33711140
rosenvann,33711150
kosmetikk,33711200
manikyr- og pedikyrprodukter,33711300
skjønnhetsprodukter,33711400
bomullspinner,33711410
sminkesett,33711420
våtservietter engangs,33711430
lebepomade,33711440
tatoveringer,33711450
hudpleieprodukter,33711500
solbeskyttelseprodukter,33711510
badesåpe,33711520
dusjhetter,33711530
parafarmasøytiske kremer eller oppløsninger,33711540
hårprodukter og -artikler,33711600
sjampo,33711610
kammer,33711620
parykker,33711630
skjønnhetsbehandlingssett,33711640
artikler og produkter til tann- eller munnhygiene,33711700
tannbørster,33711710
tannkrem,33711720
tannpirkere,33711730
munnskyllevann,33711740
munnspray,33711750
tanntråd,33711760
narresmokker for spedbarn,33711770
rensetabletter til tannproteser,33711780
tannpleiesett,33711790
barberingsprodukter,33711800
barberskum,33711810
såpe,33711900
kondomer,33712000
fotpleieprodukter,33713000
barbermaskiner og håndpleie- eller fotpleiesett,33720000
barberhøvler,33721000
barberblader,33721100
barbermaskiner,33721200
manikyre- eller pedikyresett,33722000
håndpleiesett,33722100
utstyr til håndpleie,33722110
fotpleiesett,33722200
utstyr til fotpleie,33722210
hårspenner,33722300
øyepleieprodukter og korrektive linser,33730000
kontaktlinser,33731000
korrigerende linser,33731100
intraokulære linser,33731110
brilleglass,33731120
kontaktlinsevæske,33732000
solbriller,33733000
briller,33734000
bøyler og innfatninger til briller,33734100
glass til briller,33734200
beskyttelsesbriller,33735000
sikkerhetsbriller,33735100
bøyler og innfatninger til beskyttelsesbriller,33735200
hånd- og neglepleieprodukter,33740000
håndpleieprodukter,33741000
håndsåpe,33741100
fuktighetskremer til hender eller kropp,33741200
hånd-disinfeksjonsmiddel,33741300
neglepleieprodukter,33742000
negleklippere,33742100
neglelakk,33742200
produkter til spedbarnspleie,33750000
engangsbleier,33751000
ammeinnlegg,33752000
toalettpapir lommetørkler håndklær og servietter,33760000
toalettpapir,33761000
papirlommetørklær,33762000
papirhåndkle,33763000
papirservietter,33764000
sanitetspapir,33770000
sanitære produkter av papir,33771000
damebind eller tamponger,33771100
papirinnlegg (til tøybleier),33771200
engangsprodukter av papir,33772000
laboratorie- hygieniske- eller farmasøytiske produkter av glass,33790000
hygieniske produkter av glass,33791000
glass til farmasøytisk bruk,33792000
laboratorieprodukter av glass,33793000
obduksjons- og begravelsesutstyr og tilbehør,33900000
patologiske disseksjonsinstrumenter og tilbehør,33910000
obduksjonssakser,33911000
disseksjonssett til obduksjon,33912000
disseksjonstenger til obduksjon,33912100
obduksjonskulesonder,33913000
tråd nåler eller incisjonsklemmer til obduksjon,33914000
obduksjonstråd,33914100
obduksjonsnåler,33914200
incisjonsklemmer til obduksjon,33914300
venestyrere til obduksjon,33915000
obduksjonssagblader eller tilbehør,33916000
obduksjonssager,33916100
disseksjonsbord eller underlag,33917000
kasser til obduksjonsinstrumenter eller tilbehør,33918000
instrumentruller til obduksjonsinstrumenter eller tilbehør,33919000
obduksjonsutstyr og tilbehør,33920000
knokkelstøvoppsamlere,33921000
likposer,33922000
hodestøtter kroppsbord og hengestøtter til obduksjon,33923000
hodestøtter til obduksjon,33923100
kroppsbord til obduksjon,33923200
hengevekter til obduksjon,33923300
obduksjonssett til infeksjonssykdommer,33924000
post-mortem identifikasjonsmerkelapp eller -armbånd?,33925000
vakumaspiratorer eller -slanger til væskeoppsamling,33926000
rektaltermometre til obduksjon,33927000
fingerutstrekkere til obduksjon,33928000
likvevsoppbyggingssett,33929000
obduksjonsmøbler,33930000
komplette obduksjonsarbeidsplasser eller tilbehør,33931000
obduksjonsvasker eller tilbehør,33932000
obduksjonsbord eller tilbehør,33933000
obduksjonsbord,33933100
nekropsibord eller tilbehør,33934000
disseksjonsbord eller tilbehør for dyr,33935000
balsameringsarbeidsplasser eller tilbehør,33936000
nedstrømsarbeidsplasser eller tilbehør til obduksjon,33937000
utstyr og tilbehør til liktransport og -transport,33940000
oppbevaringsskuffer til lik,33941000
likkasser,33942000
sakseliftvogner til lik,33943000
kjøleskap eller frysere til likhus,33944000
kjølerom til likhus,33945000
obduksjonsvogner,33946000
likbrett,33947000
likløfte- eller overføringsinnretninger,33948000
liktransportbeholdere,33949000
klinisk rettsmedisinutstyr og tilbehør,33950000
fingeravtrykksmaterialer post mortem,33951000
antiputrefaksjonsmasker,33952000
post mortem blodpåvisningssett og tilbehør,33953000
oppsamlingssett til biologiske bevis,33954000
balsameringsutstyr og tilbehør,33960000
hulrominjektorer til balsamering,33961000
venedreneringsrør til balsamering,33962000
balsameringsvæsker eller kjemiske blandinger,33963000
injeksjonsslanger til balsamering,33964000
balsameringsvasker eller tilbehør,33965000
balsameringssett,33966000
injektornåler til balsamering,33967000
øyedeksler,33968000
utstyr og tilbehør til likhus,33970000
utstyr til likhus,33971000
pakninger til likhus,33972000
svøper til likhus,33973000
aspiratorer til likhus,33974000
herdeforbindelser til likhus,33975000
transport equipment and auxiliary products for transport,34000000
motorkjøretøy,34100000
personbiler,34110000
stasjonsvogner og personbiler,34111000
stasjonsvogner,34111100
sedanbiler,34111200
kjøretøyer med firehjulstrekk,34113000
jeeper,34113100
terrenggående kjøretøyer,34113200
off-road kjøretøyer,34113300
spesialkjøretøyer,34114000
utrykningskjøretøyer,34114100
redningskjøretøyer,34114110
kjøretøyer til paramedisinsk bruk,34114120
ambulanser,34114121
kjøretøyer til pasienttransport,34114122
politibiler,34114200
kjøretøyer til fangetransport,34114210
kjøretøyer til omsorg,34114300
minibusser,34114400
andre passasjerbiler,34115000
motorkjøretøyer til befordring av færre enn,34115200
brukte kjøretøyer til transport,34115300
motorkjøretøyer til befordring av,34120000
busser og rutebiler,34121000
busser til kollektivtrafikk,34121100
leddede busser,34121200
toetasjebusser,34121300
busser med lavt gulv,34121400
turistbusser,34121500
motorkjøretøyer til godstransport,34130000
pickuper,34131000
motorsleder,34132000
leddede lastebiler,34133000
tankbiler,34133100
drivstofftankbiler,34133110
flat- og tippvogner,34134000
flatvogner,34134100
lastebiler med tippeplan,34134200
varevogner,34136000
små varevogner,34136100
kassevogner,34136200
brukte motorkjøretøyer til godstransport,34137000
veitraktorer,34138000
chassiser,34139000
førerhuschassiser,34139100
chassiskarosseri,34139200
komplette chassiser,34139300
tunge motorkjøretøyer,34140000
kranbiler og tippvogner,34142000
lastebiler med heisplattform,34142100
kontainerlastere,34142200
dumpere,34142300
motorkjøretøyer til vintervedlikehold,34143000
motorkjøretøyer til spesielle formål,34144000
mobile boretårn,34144100
beredskapskjøretøy,34144200
brannkjøretøyer,34144210
lastebiler med dreiestiger,34144211
brannkjøretøyer med vanntank,34144212
brannbiler,34144213
bergingskjøretøyer,34144220
mobile bruer,34144300
kjøretøyer til veivedlikehold,34144400
slamsuger,34144410
saltspredere,34144420
kjøretøyer til feiing av veier,34144430
feiekjøretøyer med sugeanordninger,34144431
kjøretøyer med grusspredere,34144440
vanningskjøretøyer,34144450
kjøretøyer til avfall og kloakk,34144500
kjøretøyer til avfall,34144510
renovasjonsvogner,34144511
renovasjonsvogner med komprimator,34144512
tankvogner til kloakk (septikk),34144520
nyttekjøretøyer,34144700
hjullastere,34144710
kjøretøy til tanking av fly,34144730
bukseringskjøretøyer til fly,34144740
godskjøretøyer,34144750
portaltruck,34144751
bokbusser,34144760
husvogn campingbil,34144800
el-kjøretøyer,34144900
el-busser,34144910
simulatorer,34150000
kjøresimulatorer,34151000
øvingssimulatorer,34152000
karosserier til motorkjøretøy tilhengere eller slepevogner,34200000
karosseri til motorkjøretøyer,34210000
karosseri for busser -ambulansekjøretøyer og -varekjøretøyer,34211000
karosseri til busser,34211100
karosseri til ambulanser,34211200
karosseri til godsvogner,34211300
tilhengere slepevogner og mobile containere,34220000
mobile containere til spesielle formål,34221000
mobile ulykkesenheter,34221100
mobile akkuttenheter,34221200
enheter ved kjemiske ulykker,34221300
tilhengere og slepevogner,34223000
slepevogner,34223100
tankvogner,34223200
tilhengere,34223300
universaltilhengere,34223310
hestetransporttilhenger,34223320
mobile enheter på tilhengere,34223330
tilhengere til tankbiler,34223340
tilhengere med dreiestige,34223350
tilhengere for tanking,34223360
tilhengere med tippeplan,34223370
tilhengere og slepevogner til camping,34223400
deler til tilhengere slepevogner og andre kjøretøyer,34224000
deler til trailere og semitrailere,34224100
deler til andre kjøretøyer,34224200
deler og tilbehør til kjøretøy og tilhørende motorer,34300000
motorer og motordeler,34310000
motorer,34311000
forbrenningsmotorer til motorkjøretøyer og motorsykler,34311100
forbrenningsmotorer med gnisttenning,34311110
forbrenningsmotorer med kompresjonstenning,34311120
motordeler,34312000
viftereimer,34312100
tennplugger,34312200
kjøretøyradiatorer,34312300
stempler,34312400
pakninger,34312500
transportbånd av gummi,34312600
drivreimer av gummi,34312700
mechanical spare parts excluding engines and engine parts,34320000
aksler og girbokser,34321000
aksler,34321100
girbokser,34321200
bremser og deler til bremser,34322000
bremseutstyr,34322100
skivebremser,34322200
bremsebelegg bremsebånd,34322300
bremseklosser,34322400
bremsesko,34322500
hjul deler og tilbehør,34324000
utstyr til avbalansering av hjul,34324100
lydpotter og avgassrør,34325000
lyddempere,34325100
eksosrør,34325200
donkraft jekk til kjøretøyer koblinger og tilhørende deler,34326000
koblinger og tilhørende deler,34326100
donkraft jekk til kjøretøyer,34326200
ratt rattstammer og styrehus,34327000
ratt,34327100
rattstammer og styrehus,34327200
testbenker ombygningssett til kjøretøy og sikkerhetsseler,34328000
prøvebenker,34328100
omformingssett til kjøretøy,34328200
sikkerhetsseler,34328300
spare parts for goods wagons vans and cars,34330000
tires for heavy/light vehicles,34350000
dekk til lette kjøretøy,34351000
dekk til biler,34351100
ekstra kraftige dekk,34352000
dekk til lastebiler,34352100
dekk til busser,34352200
dekk til landbrukskjøretøyer,34352300
seats for civil passenger aircraft,34360000
seats for motor vehicles,34370000
accessories for tractors,34390000
motorcycles bicycles and sidecars,34400000
motorcycles,34410000
deler og tilbehør til motorsykler,34411000
sidevogner til motorsykler,34411100
deler og tilbehør til motorsykkelsidevogner,34411110
dekk til motorsykler,34411200
motorized scooters and bicycles with an auxiliary motor,34420000
scootere,34421000
sykler med hjelpemotor,34422000
bicycles,34430000
sykler uten motor,34431000
deler og tilbehør til sykler,34432000
dekk til sykler,34432100
ships and boats,34500000
ship,34510000
skip og liknende fartøyer til passasjer- eller godstransport,34512000
ferger,34512100
cruiseskip,34512200
bulkskip,34512300
fraktskip,34512400
godsfartøy,34512500
containerskip,34512600
ro-ro fartøy,34512700
tankskip,34512800
transportskip til biler,34512900
kjøleskip,34512950
fiskebåter krisebåter og andre spesielle fartøy,34513000
fiskebåter,34513100
fabrikkskip,34513150
taue- og slepebåter,34513200
skrapere,34513250
sjøgående flytedokker,34513300
hjelpefartøyer til dykkere,34513350
flytekraner,34513400
produksjonsskip,34513450
fartøyer til seismiske undersøkelser,34513500
undersøkelsesskip,34513550
forurensingskontrollskip,34513600
brannslukningsskip,34513650
redningsskip,34513700
fyrskip,34513750
flytende eller nedsenkbare bore- eller produksjonsplattformer,34514000
boreskip,34514100
oppjekkplattform,34514200
oljeboreplattformer,34514300
flytende boreplattformer,34514400
flytende produksjonsenhet,34514500
halvt nedsenkbar plattform,34514600
mobil plattform,34514700
offshoreplattform,34514800
boreplattformer,34514900
flytende konstruksjoner,34515000
markeringsbøyer,34515100
oppblåsbare flåter,34515200
marinefendere,34516000
boats,34520000
spesialbåter,34521000
overvåkningsbåter,34521100
tollpatruljebåter,34521200
politipatruljebåter,34521300
livbåter,34521400
lyst- og sportsbåter,34522000
seilbåter,34522100
katamaranseilbåter,34522150
redningsjoller,34522200
seilejoller,34522250
små båter,34522300
glassfiberjoller,34522350
halvstive joller,34522400
oppblåsbare båter,34522450
gummibåter,34522500
kanoer,34522550
robåter,34522600
pedalbåter,34522700
railway and tramway locomotives rolling stock and associated parts,34600000
locomotives and tenders,34610000
lokomotiver,34611000
tendere til lokomotiver og skinnevogner,34612000
tendere til lokomotiver,34612100
kabelvogner taubanestol,34612200
rolling stock,34620000
jernbanevedlikehold eller service kjøretøy og jernbane fraktvogner,34621000
godsvogner til jernbaner,34621100
kjøretøy for vedlikehold- eller service på jernbaner,34621200
passasjervogner til jernbaner og sporveier samt trådbusser (trolleybusser),34622000
passasjervogner til sporveier,34622100
passasjervogner til jernbaner,34622200
trådbusser trolleybusser,34622300
jernbanevogner,34622400
bagasjevogner og spesialvogner,34622500
parts of railway or tramway locomotives or rolling stock; railway traffic control equipment,34630000
deler til lokomotiver eller rullende materiell,34631000
blokkhjul (helstøpt hjul),34631100
buffere og koblinger,34631200
seter til rullende materiell,34631300
hjulaksler og dekk samt andre deler til lokomotiver eller rullende materiell,34631400
jernbanetrafikk-kontrollutstyr,34632000
mekanisk signalutstyr,34632100
elektrisk signalutstyr for jernbane,34632200
elektriske installasjoner til jernbaner,34632300
self-driving elements,34640000
aircraft and spacecraft,34700000
the helicopter airplane spacecraft and other motorized aircraft,34710000
helikoptre og fly,34711000
fly,34711100
fly med faste vinger,34711110
luftfartøyer uten pilot,34711200
luftfartøyer med pilot,34711300
spesialfly,34711400
helikoptre,34711500
romfartøyer satellitter og utskytningskjøretøy,34712000
romfartøyer,34712100
satellitter,34712200
utskytingsramper til romfartøyer,34712300
balloons dirigible airships and other non-motorized aircraft,34720000
glidefly og seilfly,34721000
hengeglidere drakefly,34721100
ballonger og styrbare ballonger,34722000
ballonger,34722100
styrbare luftskip,34722200
parts for aircraft spacecraft and the helicopter,34730000
deler til luftfartøyer,34731000
flymotorer,34731100
turbojetmotorer,34731200
turbopropmotorer,34731300
jetmotorer reaksjonsdrivverk,34731400
deler til flymotorer,34731500
deler til turbojet- eller turbopropmotorer,34731600
deler til helikoptre,34731700
dekk til fly,34731800
equipment for air and space vehicles training devices simulators and related parts,34740000
flyutstyr,34741000
utskytningsmateriell til luftfartøyer,34741100
katapultsystemer til luftfartøyer,34741200
fangeanordningsutstyr for landing på dekk,34741300
flygesimulatorer,34741400
bakkeutstyr for flytrening,34741500
poser for reisesyke,34741600
various transport equipment and spare parts,34900000
horse-drawn or hand-drawn carriages other non-mechanically driven vehicles luggage carriages and miscellaneous spare parts,34910000
hest- eller håndtrukkete kjerrer og andre ikke-mekanisk drevne kjøretøy,34911000
traller,34911100
bagasjevogner,34912000
sportsvogner (for barn),34912100
diverse reservedeler,34913000
brukte dekk,34913100
regummierte dekk,34913200
støtfangere,34913300
klokker til montering i kjøretøyer,34913400
låser til kjøretøyer,34913500
sykkel låser,34913510
skipspropeller,34913600
stiger til brannbiler,34913700
ankre,34913800
road equipment,34920000
veivedlikeholdsutstyr,34921000
gatefeiemaskiner,34921100
feiemaskiner til landingsbaner,34921200
veimerkingsutstyr,34922000
veimerkinger,34922100
glassperler til veimerking,34922110
trafikkstyringsutstyr,34923000
informasjonstavler med variabel/oppdatert informasjon,34924000
kontrollutstyr til parkeringsplasser,34926000
utstyr til oppkreving av avgifter,34927000
veisalt,34927100
tilbehør til veier,34928000
autovern,34928100
sikkerhetsrekkverk,34928110
barrierekomponenter,34928120
gjerde,34928200
trespåler,34928210
deler for inngjerding,34928220
støyskjerm,34928230
sikkerhetsavsperringer,34928300
beskyttelsesinnhegning,34928310
trafikk vern,34928320
lavinebeskyttelse,34928330
snøgjerder,34928340
gatemøbler,34928400
markeringsstolper,34928410
varselslamper for trafikkfare,34928420
fyr,34928430
busstoppestolper,34928440
trafikkfyr,34928450
veikjegler,34928460
skilting,34928470
veitavlematerialer,34928471
skiltstolper,34928472
søppelbeholdere og -bøtter,34928480
utstyr til gatebelysning,34928500
stolper til gatebelysning,34928510
lyktestolper,34928520
gatelykter,34928530
materialer til motorveier,34929000
maritime equipment,34930000
havneutstyr,34931000
dokkutstyr,34931100
passasjerlandgangsbroer til skip,34931200
passasjerlandgangstrapper til skip,34931300
skipsbrosimulatorer,34931400
trafikk kontroll systemer for skip,34931500
radaranlegg,34932000
navigasjonsutstyr,34933000
propellblad,34934000
railway equipment,34940000
skinner og tilbehør,34941000
stenger,34941100
sporskinner,34941200
sporveisskinner,34941300
krysshoder,34941500
kryssninger overganger,34941600
sporskifter,34941800
signalutstyr,34942000
signalmaster,34942100
signalhus,34942200
togovervåkningssystem,34943000
sporskifteoppvarmingssystem,34944000
sporinnretningsmaskiner,34945000
konstruksjonsmaterialer og leveranser for jernbanespor,34946000
byggematerialer til jernbanespor,34946100
skinner,34946110
jernbanematerialer,34946120
skinnelask og grunnplater,34946121
kontrollskinner,34946122
konstruksjonsmaterialer for jernbanespor,34946200
strømførende skinner,34946210
sporvekseltunge skinnekryss punktstenger og kryssende deler,34946220
sporskiftestenger,34946221
overgangsstykker til sporskifter,34946222
gjengestenger,34946223
sporkryssdeler,34946224
klemplater underlag og sviller,34946230
skinneklemmer,34946231
underlagsplater og sporstenger,34946232
armeringsstoler avstandsklosser og kiler,34946240
sviller og deler av sviller,34947000
sviller,34947100
deler av sviller,34947200
carrying equipment,34950000
arbeidsplattformer,34951000
slamhåndteringsutstyr,34951200
slamtørkeanlegg,34951300
hydrauliske løfteplattformer,34952000
tilkjøringsramper,34953000
fergeramper,34953100
landgang for passasjerer,34953300
gangbru,34954000
flytedokk,34955000
flytende lagerenhet,34955100
airport equipment,34960000
bagasjehåndteringssystem,34961000
bagasjehåndteringsutstyr,34961100
flygelederutstyr,34962000
kontrolltårnsutstyr,34962100
flyvekontroll,34962200
flyvekontrollsimulering,34962210
flyvekontrollsystemer,34962220
flyvekontrolltrening,34962230
instrumentlandingssystem (ils),34963000
rundstrålende vhf-radioanlegg av doppler-typen (dvor),34964000
avstandsmåleutstyr (dme),34965000
radiopeileapparat og rundstrålende radiofyrtårn,34966000
radiopeileapparat (rdf),34966100
rundstrålende radiofyrtårn (ndb),34966200
kommunikasjonssystem til flyplasser (com),34967000
overvåknings- og belysningssystem til flyplasser,34968000
overvåkningssystem til flyplasser (sur),34968100
belysningssystem til flyplasser (papi),34968200
passasjerbroer og -trapper til fly,34969000
passasjerbroer til fly,34969100
passasjerpåstigingstrapper til fly,34969200
traffic monitoring system,34970000
kamerautstyr til hastighetskontroll,34971000
system til måling av trafikkstrømmen,34972000
waybills requisitions,34980000
control safety signaling and lighting equipment,34990000
belysning for utearbeidplasser,34991000
skilt og opplyste skilt,34992000
opplyste trafikkskilt,34992100
veiskilt,34992200
gateskilt,34992300
veibelysning,34993000
tunnelbelysning,34993100
belysning til veiledning og belysning av skip til havs,34994000
belysning til veiledning og belysning av skip ved elveseilas,34994100
belysning til veiledning og belysning av fly,34995000
kontroll- sikkerhets- eller signalutstyr til veier,34996000
trafikksignaler,34996100
kontroll- sikkerhets- eller signalutstyr til indre sjøveier,34996200
kontroll- sikkerhets- eller signalutstyr til parkeringsfasiliteter,34996300
kontroll- sikkerhets- eller signalutstyr til lufthavner,34997000
ferdskrivere,34997100
lufthavnbelysning,34997200
landingsbanelys,34997210
kontroll- sikkerhets- eller signalutstyr til havner,34998000
signalgeneratorer signalfordelere til antenner og galvaniseringsmaskiner,34999000
signalgeneratorer,34999100
signalfordelere til antenner,34999200
galvaniseringsmaskiner,34999300
skalamodeller,34999400
skalamodeller av fly,34999410
skalamodeller av båter,34999420
security firefighting police and defense equipment,35000000
emergency and safety equipment,35100000
firefighting rescue and safety equipment,35110000
brannbekjempelsesutstyr,35111000
pusteapparat ved brannbekjempelse,35111100
brannslukningsmateriell,35111200
brannslukkere,35111300
skumpatroner,35111310
bærbare brannslukkere,35111320
brannfluktutstyr,35111400
brannslukningssystemer,35111500
brannslukkende håndverktøy,35111510
brannslukkende skum eller lignende kjemikalier,35111520
rednings- og kriseutstyr,35112000
livredningsdukker,35112100
krisedusjer,35112200
øyedusjer,35112300
sikkerhetsutstyr,35113000
utstyr til sikring av arbeidsplass,35113100
beskyttelsessystem til atomreaktor,35113110
kjernefysisk- biologisk kjemisk og radiologisk beskyttelsesutstyr,35113200
atomsikkerhetsutstyr,35113210
sikkerhetsinstallasjoner,35113300
beskyttelse og sikkerhetsbekledning,35113400
klær til biologisk eller kjemisk beskyttelse,35113410
beskyttelsesklær mot kjernefysiskstråling og radioaktivitet,35113420
sikkerhets vester,35113430
reflekterende vester,35113440
beskyttelsessjakker eller -ponchoer,35113450
beskyttelsessokker eller -strømper,35113460
beskyttelsesskjorter eller -bukser,35113470
håndleddsbeskyttelse,35113480
beskyttelseskjoler,35113490
monitoring and security systems and tools,35120000
sikringsutstyr,35121000
ringealarmer,35121100
apparat for avdekking av forfalskede penger,35121200
sikkerhetsanordninger,35121300
sikkerhetssekker,35121400
segl,35121500
merkelapper,35121600
alarmsystemer,35121700
konvekse sikkerhetsspeil,35121800
radardetektorer,35121900
utstyr til in-situ-bestemmelse,35123000
magnetkortsystem,35123100
utstyr til arbeidstidsstyring,35123200
tidskontrollsystem,35123300
identifikasjonskort,35123400
videoidentifikasjonssystemer,35123500
metalldetektorer,35124000
overvåkningssystem,35125000
sensorer,35125100
biometriske sensorer,35125110
tidskontrollsystem eller apparat til arbeidstidsregistrering,35125200
sikkerhetskameraer,35125300
strekkode avlesingsutstyr,35126000
police equipment,35200000
shooting discs,35210000
equipment for use against riots,35220000
vannkanoner,35221000
handcuffs,35230000
sirens,35240000
protective clothing for dog attacks,35250000
police sign,35260000
informasjonstavler,35261000
informasjonstavler med oppdateringer,35261100
signalutstyr til veikryss og jernbaneoverganger,35262000
weapons ammunition and related parts,35300000
various weapons,35310000
sverd macheter bajonetter og lanser,35311000
sverd,35311100
huggerter,35311200
bajonetter,35311300
lanser,35311400
gasspistoler,35312000
firearms,35320000
lette skytevåpen,35321000
håndvåpen,35321100
rifler,35321200
maskingeværer,35321300
artilleri,35322000
luftvernsartilleri,35322100
mobilt artilleri,35322200
trukket artilleri,35322300
bombekastere,35322400
haubitser,35322500
ammunition,35330000
ammunisjon til skytevåpen og krigføring,35331000
kuler,35331100
artillerigranater,35331200
granater,35331300
landminer,35331400
patroner,35331500
ammunisjon til sjøkrigføring,35332000
torpedoer,35332100
sjøminer,35332200
ammunisjon til luftkrigføring,35333000
bomber,35333100
raketter,35333200
parts for firearms and ammunition,35340000
deler til lette skytevåpen,35341000
rørledningsarmatur av rødmetall (bronse),35341100
deler til raketter,35342000
deler til bombekastere,35343000
military vehicles and related parts,35400000
armored vehicles,35410000
kampvogner,35411000
tunge kampvogner,35411100
lette kampvogner,35411200
pansrede kampkjøretøy,35412000
infanterikampkjøretøy,35412100
pansrede mannskapskjøretøy,35412200
pansrede våpenkjøretøy,35412300
rekognoserings- eller overvåkningskjøretøy,35412400
kommando- og forbindelseskjøretøy,35412500
parts for military vehicles,35420000
mekaniske reservedeler til militærkjøretøy,35421000
motorer og motordeler til militærkjøretøy,35421100
elektroniske og elektriske reservedeler til militærkjøretøy,35422000
warships and parts,35500000
warship,35510000
overflateskip til krigføring,35511000
hangarskip,35511100
destroyere og fregatter,35511200
korvetter og patruljebåter,35511300
amfibiske fartøy og skip,35511400
undervannsbåter,35512000
strategiske atomdrevne undervannsbåter,35512100
atomdrevne angrepsubåter,35512200
dieseldrevne angrepsubåter,35512300
ubemannede undervannsfartøy,35512400
skip til minekrigsføring og hjelpefartøy,35513000
minejager / minestryker,35513100
hjelpefartøy til forskning,35513200
hjelpefartøy til innsamling av etterretning,35513300
hjelpesykehus- frakt- tanker- ro-ro fartøy,35513400
parts for warships,35520000
skrog og mekaniske reservedeler til krigsskip,35521000
motorer og motordeler til krigsskip,35521100
elektroniske og elektriske reservedeler til krigsskip,35522000
military aircraft missiles and spacecraft,35600000
military aircraft,35610000
ubemannede luftfartøy (uav),35613000
ubemannede kampluftfartøy (ucav),35613100
rockets,35620000
strategiske missiler,35621000
strategiske anti-ballistiske missiler,35621100
interkontinentale ballistiske missiler,35621200
ballistiske missiler avfyrt fra u-båt,35621300
mellomdistanse ballistiske missiler,35621400
taktiske missiler,35622000
luft-til-luft missiler,35622100
luft-til-bakke missiler,35622200
anti-skipsmissiler,35622300
anti u-båt missiler,35622400
taktiske anti-ballistiske missiler,35622500
styrt anti-tanks missiler,35622600
bakke-til-luft missiler,35622700
kryssermissiler,35623000
luft- bakke- sjøutskytnings kryssermissiler,35623100
military spacecraft,35630000
militærsatelitter,35631000
kommunikasjonssatelitter,35631100
observasjonssatelitter,35631200
navigasjonssatelitter,35631300
parts for military aerospace equipment,35640000
strukturelle og mekaniske reservedeler til militært aerospace utstyr,35641000
motorer og motordeler til militært aerospace utstyr,35641100
